"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"3525","Japan",2020-02-02,20,0,0,0,1,0,19,0,0,0
"4110","Macao",2020-02-02,8,1,0,0,0,0,8,1.2,0.2,1.2
"4233","Mainland China",2020-02-02,16607,4736,361,102,463,188,15783,1.2,0.3,1.1
"4336","Malaysia",2020-02-02,8,0,0,0,0,0,8,0,0,0
"4835","Nepal",2020-02-02,1,0,0,0,0,0,1,0,0,0
"5412","Philippines",2020-02-02,2,1,1,1,0,0,1,0,0,0
"5621","Republic of Korea",2020-02-02,15,3,0,0,0,0,15,0,0,0
"5790","Russia",2020-02-02,2,0,0,0,0,0,2,0,0,0
"6223","Singapore",2020-02-02,18,2,0,0,0,0,18,0.3,0,0.3
"6479","Spain",2020-02-02,1,0,0,0,0,0,1,0,0,0
"6561","Sri Lanka",2020-02-02,1,0,0,0,0,0,1,0,0,0
"6703","Sweden",2020-02-02,1,0,0,0,0,0,1,0,0,0
"6799","Taiwan",2020-02-02,10,0,0,0,0,0,10,0,0,0
"6910","Thailand",2020-02-02,19,0,0,0,5,0,14,0,0,0
"7237","UK",2020-02-02,2,0,0,0,0,0,2,0,0,0
"7403","United Arab Emirates",2020-02-02,5,1,0,0,0,0,5,0.1,0,0.1
"7516","USA",2020-02-02,8,0,0,0,0,0,8,0,0,0
"7663","Vietnam",2020-02-02,6,0,0,0,1,0,5,0,0,0
"343","Australia",2020-02-03,12,0,0,0,2,0,10,0,0,0
"1128","Cambodia",2020-02-03,1,0,0,0,0,0,1,0,0,0
"1260","Canada",2020-02-03,4,0,0,0,0,0,4,0,0,0
"2282","Finland",2020-02-03,1,0,0,0,0,0,1,0,0,0
"2357","France",2020-02-03,6,0,0,0,0,0,6,0,0,0
"2493","Germany",2020-02-03,12,2,0,0,0,0,12,0,0,0
"2919","Hong Kong",2020-02-03,15,0,0,0,0,0,15,0.2,0,0.2
"3092","India",2020-02-03,3,1,0,0,0,0,3,0,0,0
"3434","Italy",2020-02-03,2,0,0,0,0,0,2,0,0,0
